SEX,ORIGIN,RACE,YEAR,TOTAL_POP,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
0,0,0,2022,333287557,3683113,3588817,3693362,3742836,3830225,3907298,4008898,4043729,4031341,4017929,4024547,4068564,4152811,4240884,4403033,4396566,4325808,4291066,4326642,4295710,4438006,4723644,4663473,4483807,4396849,4346308,4351553,4419629,4503844,4571830,4672812,4739263,4751526,4614523,4530012,4476550,4483170,4478749,4383099,4446381,4438786,4375219,4356125,4175926,4081360,4029138,3891868,3935451,3859402,3908239,4094089,4334593,4265282,4102135,4011448,4021403,4075771,4228510,4322714,4318616,4327473,4313536,4231279,4144198,4101937,4020640,3833262,3737326,3598472,3441722,3305273,3141497,2988811,2898395,2823041,2959404,2083434,1986144,1915774,1916244,1623833,1441506,1303339,1193273,1097594,962356,870823,798679,672727,601746,524576,450431,380133,304906,248895,194667,145421,109622,78028,53870,88988
0,0,0,2023,335674990,3651835,3705436,3612092,3715843,3764653,3851306,3927602,4028402,4062691,4050011,4035851,4041989,4085382,4169595,4258898,4423967,4422086,4357187,4326432,4365974,4337357,4480914,4767255,4709408,4532365,4447072,4397549,4402129,4468435,4550445,4615467,4712707,4775125,4784193,4644511,4557110,4499686,4502130,4494521,4396004,4456563,4446650,4381665,4361195,4180868,4085073,4030783,3891377,3931994,3853856,3900240,4083457,4321311,4251239,4088110,3996478,4004944,4056901,4206313,4297616,4290995,4297255,4280218,4195400,4106023,4060604,3976680,3788137,3689754,3548610,3389659,3250597,3084022,2928516,2834081,2753955,2878555,2021827,1920687,1845265,1837228,1548972,1366639,1227435,1115552,1018015,885370,793900,721082,600774,530945,456828,386703,321320,253514,203193,155838,113985,84016,58345,96248
0,0,0,2024,338020369,3676914,3676553,3727430,3633708,3736998,3785325,3871348,3946923,4047308,4081286,4067957,4053170,4058819,4102294,4187737,4280038,4449608,4453352,4392563,4365664,4407426,4380252,4524887,4812628,4757213,4582471,4497805,4448173,4451231,4515236,4594573,4655824,4749266,4808074,4814016,4671567,4580314,4519061,4518058,4507502,4406829,4464684,4453104,4387088,4365471,4184455,4086719,4029931,3888308,3926143,3846369,3890727,4071751,4307072,4236319,4072966,3980279,3986949,4036432,4182455,4270540,4261285,4264578,4244217,4156764,4064850,4016262,3929668,3739990,3638688,3494990,3333387,3191526,3021958,2863670,2764990,2679727,2791855,1955549,1850372,1769602,1752456,1468859,1287312,1147878,1035063,936830,807589,716949,644279,530412,462649,392463,327128,267309,207124,162797,122263,87452,62931,101535
0,0,0,2025,340326253,3701128,3701833,3700515,3748004,3654176,3757170,3805051,3890498,3965699,4065867,4099109,4085295,4069897,4075725,4120576,4209056,4305921,4481100,4488597,4431813,4407076,4450119,4424267,4570676,4859993,4806670,4633099,4548065,4497334,4498347,4559623,4635409,4692869,4782886,4838184,4840937,4694732,4599765,4535360,4531246,4518350,4415588,4471407,4458558,4391711,4368419,4185965,4085871,4026477,3882852,3918360,3837427,3880185,4059192,4291987,4220323,4056639,3962648,3967392,4014374,4156734,4241358,4229145,4229212,4205428,4115212,4020705,3968857,3879522,3688425,3583791,3437132,3272601,3127753,2955197,2794068,2690835,2599997,2698993,1884389,1774860,1688414,1661875,1383960,1204165,1065452,952913,854813,729728,640772,569128,462499,397722,332251,272372,218545,166092,127837,93900,65589,106600
0,0,0,2026,342598169,3724869,3726265,3725999,3722771,3767688,3673875,3776566,3824040,3909188,3984216,4083771,4116394,4102153,4086818,4094114,4142164,4235250,4337765,4516734,4527804,4473313,4449883,4494053,4470312,4618545,4909182,4856863,4683343,4597016,4544578,4543071,4600781,4673007,4727017,4813675,4865432,4864039,4714189,4616191,4548978,4542362,4527178,4422960,4477224,4463233,4395051,4369325,4184983,4082432,4020692,3875514,3909164,3827534,3868937,4045903,4275884,4203153,4038876,3943563,3946304,3990551,4129035,4209745,4194395,4191060,4163708,4070685,3973555,3918358,3825882,3633063,3524601,3374704,3207122,3059164,2883598,2719428,2611259,2514525,2599685,1807959,1693816,1601659,1565975,1294940,1118033,981300,869880,772710,652590,566243,496547,397891,336935,276861,222897,175381,130550,98276,70501,110918
0,0,0,2027,344834800,3748012,3750233,3750636,3748444,3743854,3786807,3692941,3795322,3842646,3927653,4002111,4101197,4133236,4119203,4105286,4115856,4168709,4267481,4373829,4556326,4569274,4516173,4494030,4540058,4518507,4668290,4959147,4906697,4732293,4644061,4589377,4584522,4638598,4707620,4758254,4841405,4888847,4883302,4730606,4629873,4560499,4551464,4534606,4429376,4482263,4466611,4396336,4367686,4181367,4076601,4012978,3866766,3899030,3816907,3857068,4031656,4258627,4184526,4019605,3922948,3923456,3964798,4098962,4175466,4156847,4149941,4118930,4023132,3923258,3864347,3768313,3573368,3460740,3307452,3136807,2985530,2806853,2639321,2525948,2422982,2493368,1725890,1607210,1509778,1465478,1202689,1030076,896188,786690,691356,577048,494252,427446,337348,280975,226758,179063,137969,100466,73866,116799
0,0,0,2028,347032737,3770101,3773600,3774805,3773263,3769698,3764116,3805443,3711466,3813799,3861097,3945564,4019514,4118116,4150265,4137734,4127140,4142576,4201338,4303941,4413909,4598087,4612140,4560276,4540240,4588248,4568542,4718783,5008841,4955167,4779270,4688675,4630798,4622574,4673414,4739232,4786400,4865103,4908377,4899424,4744252,4641380,4569949,4559180,4541037,4434966,4485973,4467913,4395052,4363323,4175305,4068806,4003799,3857050,3888168,3805609,3844282,4016314,4239907,4164361,3998780,3900595,3898680,3936706,4066250,4138369,4116306,4105768,4071038,3972423,3869416,3806400,3706276,3508979,3391970,3235230,3061403,2906503,2724506,2553451,2434550,2324820,2379525,1638173,1515490,1413454,1361369,1108459,941103,810887,704202,611646,504009,425693,362650,281560,230325,182329,141022,106272,75593,122855
0,0,0,2029,349190042,3790919,3795912,3798376,3797622,3794694,3790116,3783682,3823660,3729776,3832230,3878860,3962975,4036454,4135177,4168803,4159649,4154016,4175415,4238251,4344428,4456193,4641150,4656291,4606454,4588630,4638363,4619334,4768967,5057283,5001671,4823690,4729936,4668808,4657563,4705219,4767691,4810544,4884888,4924707,4912737,4755704,4650809,4577963,4565916,4546609,4439218,4487579,4466616,4391044,4356501,4167290,4059562,3993670,3846628,3876666,3793401,3830440,3999577,4219675,4142625,3976173,3876338,3871596,3906019,4030751,4098317,4072747,4058482,4019985,3918184,3811657,3744046,3639417,3439629,3318133,3157786,2980623,2821697,2636277,2461494,2336510,2219580,2258131,1545222,1419306,1313630,1255032,1013097,851899,726273,623341,534544,434398,361378,302892,231014,185369,143734,108749,80052,127913
0,0,0,2030,351302667,3810429,3816952,3820888,3821379,3819219,3815268,3809828,3802662,3841746,3748149,3850006,3896196,3979901,4053594,4153771,4190766,4186595,4187037,4212531,4279183,4387114,4499812,4685477,4702515,4654845,4638949,4689259,4669783,4817848,5103736,5045601,4864662,4767720,4703728,4689496,4733794,4792040,4830692,4901420,4938174,4923803,4765041,4658767,4584927,4571758,4550791,4441335,4486525,4462511,4384503,4347656,4157779,4049328,3982775,3835566,3864228,3780129,3815216,3981330,4197839,4119047,3951577,3849706,3841910,3872529,3992273,4055210,4026106,4007996,3965380,3859981,3749484,3676897,3567486,3365120,3238966,3074791,2894010,2730793,2541820,2362856,2231347,2107255,2129706,1447702,1319584,1211607,1147412,917442,763370,643282,545084,461004,369040,302032,248715,186099,146273,110960,82007,134236
0,0,0,2031,353365490,3828419,3836686,3842128,3844074,3843140,3839949,3835120,3828942,3821329,3860041,3765817,3867319,3913084,3997003,4072217,4175762,4217739,4219673,4224319,4253666,4322232,4431084,4544691,4731900,4750970,4705191,4690046,4739821,4718949,4864803,5147610,5086114,4902167,4802395,4735532,4718154,4758223,4812282,4847473,4914992,4949326,4932690,4772843,4665646,4590944,4576135,4552762,4440736,4482597,4455772,4375834,4337241,4147196,4038276,3971126,3823527,3850651,3765426,3798479,3961491,4174065,4093369,3924535,3820392,3809424,3836060,3950704,4008986,3976284,3953892,3906770,3797245,3682495,3604615,3490323,3285202,3154135,2985781,2801184,2633395,2440448,2257043,2119079,1988342,1995115,1346526,1217625,1108297,1039457,822459,676488,562892,470399,391910,308671,248180,200532,146996,113034,83771,139616
