SEX,ORIGIN,RACE,YEAR,TOTAL_POP,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
0,0,0,2022,333287557,3683113,3588817,3693362,3742836,3830225,3907298,4008898,4043729,4031341,4017929,4024547,4068564,4152811,4240884,4403033,4396566,4325808,4291066,4326642,4295710,4438006,4723644,4663473,4483807,4396849,4346308,4351553,4419629,4503844,4571830,4672812,4739263,4751526,4614523,4530012,4476550,4483170,4478749,4383099,4446381,4438786,4375219,4356125,4175926,4081360,4029138,3891868,3935451,3859402,3908239,4094089,4334593,4265282,4102135,4011448,4021403,4075771,4228510,4322714,4318616,4327473,4313536,4231279,4144198,4101937,4020640,3833262,3737326,3598472,3441722,3305273,3141497,2988811,2898395,2823041,2959404,2083434,1986144,1915774,1916244,1623833,1441506,1303339,1193273,1097594,962356,870823,798679,672727,601746,524576,450431,380133,304906,248895,194667,145421,109622,78028,53870,88988
0,0,0,2023,334393850,3617655,3688247,3595614,3700007,3749447,3836810,3913882,4015376,4050249,4038083,4024401,4030988,4074717,4158832,4247171,4410151,4405148,4336296,4301363,4337767,4307237,4449397,4734316,4675169,4496977,4410690,4360755,4365434,4432265,4515195,4581442,4680459,4744665,4755446,4617400,4531658,4476120,4480340,4474183,4376913,4438718,4430148,4366358,4346825,4167232,4072132,4018595,3879936,3921228,3843666,3890531,4074210,4312423,4242646,4079754,3988335,3997017,4049120,4198542,4289780,4283038,4289196,4272082,4187278,4098042,4052861,3969294,3781120,3683098,3542341,3383824,3245256,3079138,2924046,2829946,2750096,2875012,2018639,1917853,1842793,1835126,1547224,1365178,1226176,1114458,1017066,884555,793201,720510,600319,530605,456578,386518,321174,253397,203108,155781,113945,83987,58326,96204
0,0,0,2024,335456707,3610216,3626544,3694868,3602310,3706696,3756195,3843554,3920478,4022051,4057063,4044677,4030790,4037206,4080908,4165292,4254568,4418975,4415755,4347008,4313018,4349915,4319516,4461341,4746331,4688416,4511465,4425343,4375353,4379006,4444420,4525868,4590077,4687029,4749295,4758543,4619357,4531633,4474030,4476232,4468353,4370148,4430559,4421480,4357555,4337586,4157997,4061706,4006434,3866247,3905351,3826640,3871937,4053783,4289758,4219532,4056635,3964384,3971429,4021089,4167075,4255000,4245556,4248700,4228306,4141031,4049514,4001540,3915678,3726730,3626175,3483296,3322604,3181674,3012956,2855397,2757311,2672632,2785411,1949786,1845301,1765241,1748791,1465809,1284727,1145648,1033129,935167,806172,715763,643331,529684,462113,392070,326834,267076,206947,162674,122180,87396,62890,101447
0,0,0,2025,336476277,3602023,3619204,3636209,3701415,3609032,3713504,3763046,3850287,3927239,4028977,4063638,4051162,4036959,4043439,4087548,4172911,4263708,4429946,4426600,4359133,4325780,4362775,4332318,4474556,4759882,4702956,4526671,4440213,4389600,4392068,4455915,4535510,4597624,4692765,4753079,4760742,4619650,4529965,4470620,4470911,4461880,4362861,4422358,4412869,4348793,4327829,4147564,4049689,3992521,3850936,3888203,3808794,3852844,4032962,4266644,4195730,4032736,3939350,3944514,3991641,4133890,4218309,4205889,4205883,4182260,4092498,3998778,3947934,3859696,3669714,3566258,3420884,3257686,3114140,2942727,2782562,2680215,2590283,2690239,1876631,1768118,1682686,1657077,1379935,1200740,1062500,950375,852644,727915,639298,567981,461637,397093,331786,272022,218277,165898,127706,93812,65529,106474
0,0,0,2026,337456326,3593682,3611135,3628963,3645297,3708052,3615915,3720447,3769928,3857185,3934284,4035745,4070144,4057524,4043258,4050238,4095486,4182415,4275115,4441341,4438978,4372450,4339379,4376198,4346483,4489276,4774784,4718332,4542108,4454827,4403362,4404453,4466410,4544106,4604347,4697651,4756000,4761355,4618353,4527039,4466063,4465000,4454919,4355526,4414284,4404308,4339559,4316928,4135563,4035957,3977062,3834417,3870287,3790531,3833505,4011810,4242903,4171165,4007758,3913107,3916248,3960581,4098927,4179444,4163990,4160803,4133915,4041754,3945816,3891997,3801008,3609729,3502905,3354705,3188810,3042423,2868217,2705274,2598299,2502765,2589185,1798761,1685917,1594985,1560367,1290213,1114007,977855,866943,770240,650573,564647,495331,396992,336279,276373,222538,175118,130365,98155,70420,110755
0,0,0,2027,338394345,3585294,3602922,3620991,3638142,3654007,3714886,3622932,3727411,3776973,3864344,3941163,4042482,4076556,4064014,4050191,4058378,4105390,4194267,4287036,4454284,4452571,4386552,4353577,4390923,4362112,4505286,4790469,4733892,4557258,4468936,4416365,4415771,4475729,4551763,4610122,4701472,4757331,4760260,4615801,4522905,4460880,4458588,4447874,4348247,4406252,4395263,4329181,4304433,4121836,4020650,3960369,3817146,3851970,3771996,3813951,3990100,4218429,4145514,3981528,3885529,3886383,3927801,4061854,4138293,4119821,4113392,4083278,3988765,3890472,3833339,3739212,3546259,3435672,3284419,3115713,2966199,2789123,2623104,2511205,2409722,2481659,1715749,1598562,1502472,1459322,1197493,1025673,892448,783549,688770,574989,492660,426254,336472,280336,226292,178729,137732,100305,73762,116597
0,0,0,2028,339286208,3576622,3594657,3612874,3630256,3646934,3662491,3721867,3629966,3734557,3784288,3871367,3947973,4049047,4083091,4071072,4058506,4068514,4117702,4206647,4300580,4468359,4466970,4401103,4368988,4407046,4378903,4521976,4806376,4749057,4571807,4482268,4428165,4425819,4484059,4558361,4614793,4703511,4756919,4757817,4612014,4518061,4455124,4452080,4440820,4340946,4397703,4385067,4317212,4290151,4106505,4004091,3942880,3799448,3833389,3753193,3793880,3967725,4192873,4118596,3953955,3856388,3854814,3892953,4022535,4094859,4073299,4063689,4030307,3933384,3832367,3771551,3673783,3478871,3364231,3209766,3038045,2885127,2704992,2535709,2418554,2310586,2367097,1627485,1506392,1405765,1354891,1103014,936518,807044,701037,609101,502029,424190,361535,280745,229740,181914,140733,106073,75459,122615
0,0,0,2029,340129713,3567640,3586110,3604707,3622228,3639128,3655487,3670780,3728886,3637170,3742022,3791294,3878283,3954639,4055683,4090224,4079513,4068866,4081101,4130604,4220672,4315291,4483137,4481819,4416809,4385706,4424335,4396312,4538795,4821956,4763598,4585430,4494403,4438657,4434797,4491307,4563788,4617724,4703791,4755117,4754108,4607492,4512619,4449195,4445561,4433698,4333118,4387993,4373278,4303492,4274276,4089956,3986764,3924987,3781514,3814579,3733889,3773192,3944348,4166093,4090324,3924782,3825568,3821214,3855904,3980969,4049116,4024524,4011660,3974944,3875254,3771146,3706185,3604296,3407207,3288310,3130386,2955529,2798822,2615499,2442743,2319766,2204842,2245363,1534277,1410001,1305776,1248443,1007591,847317,722501,620302,532154,432572,360011,301889,230289,184861,143384,108511,79890,127630
0,0,0,2030,340920945,3558485,3577251,3596258,3614149,3631177,3647760,3663841,3678830,3736074,3644746,3749169,3798237,3885018,3961434,4062945,4098787,4090023,4081714,4094284,4145151,4235866,4330730,4498314,4497771,4433788,4403518,4442206,4413770,4555207,4836869,4777174,4597734,4505136,4448027,4442623,4497299,4567373,4618827,4702641,4751994,4749596,4602312,4506939,4443158,4438924,4425999,4324115,4376657,4359687,4288136,4257138,4072600,3968999,3906797,3763349,3795244,3713971,3751534,3919760,4137937,4060402,3893853,3792658,3785415,3816606,3937073,4001091,3973459,3957198,3916803,3813955,3706332,3636773,3530412,3330953,3207533,3045963,2867705,2706921,2520277,2343584,2214316,2092383,2116873,1436731,1310278,1203792,1140894,912054,758961,639724,542277,458841,367409,300824,247839,185482,145852,110675,81818,133904
0,0,0,2031,341655257,3549065,3568215,3587494,3605786,3623173,3639879,3656178,3671952,3686795,3743730,3651912,3756194,3805026,3891854,3968805,4071617,4109409,4103021,4095153,4109126,4160794,4251736,4346539,4514575,4514961,4451829,4421854,4460087,4430809,4570989,4850791,4789445,4608625,4514704,4456167,4449144,4501423,4569035,4618398,4700077,4747988,4744342,4596801,4501090,4436929,4431627,4417060,4313460,4363489,4344387,4271430,4239130,4054730,3950887,3888268,3744628,3775230,3693042,3728672,3893820,4108043,4028622,3860771,3757476,3747372,3774980,3890863,3950739,3919980,3899892,3855447,3748939,3637440,3562888,3451841,3249751,3121581,2956032,2774153,2609013,2418619,2237703,2102120,1973602,1982437,1335724,1208515,1100696,1033184,817354,672385,559649,467887,390001,307251,247147,199801,146494,112700,83547,139242
