SEX,ORIGIN,RACE,YEAR,TOTAL_POP,POP_0,POP_1,POP_2,POP_3,POP_4,POP_5,POP_6,POP_7,POP_8,POP_9,POP_10,POP_11,POP_12,POP_13,POP_14,POP_15,POP_16,POP_17,POP_18,POP_19,POP_20,POP_21,POP_22,POP_23,POP_24,POP_25,POP_26,POP_27,POP_28,POP_29,POP_30,POP_31,POP_32,POP_33,POP_34,POP_35,POP_36,POP_37,POP_38,POP_39,POP_40,POP_41,POP_42,POP_43,POP_44,POP_45,POP_46,POP_47,POP_48,POP_49,POP_50,POP_51,POP_52,POP_53,POP_54,POP_55,POP_56,POP_57,POP_58,POP_59,POP_60,POP_61,POP_62,POP_63,POP_64,POP_65,POP_66,POP_67,POP_68,POP_69,POP_70,POP_71,POP_72,POP_73,POP_74,POP_75,POP_76,POP_77,POP_78,POP_79,POP_80,POP_81,POP_82,POP_83,POP_84,POP_85,POP_86,POP_87,POP_88,POP_89,POP_90,POP_91,POP_92,POP_93,POP_94,POP_95,POP_96,POP_97,POP_98,POP_99,POP_100
0,0,0,2022,333287557,3683113,3588817,3693362,3742836,3830225,3907298,4008898,4043729,4031341,4017929,4024547,4068564,4152811,4240884,4403033,4396566,4325808,4291066,4326642,4295710,4438006,4723644,4663473,4483807,4396849,4346308,4351553,4419629,4503844,4571830,4672812,4739263,4751526,4614523,4530012,4476550,4483170,4478749,4383099,4446381,4438786,4375219,4356125,4175926,4081360,4029138,3891868,3935451,3859402,3908239,4094089,4334593,4265282,4102135,4011448,4021403,4075771,4228510,4322714,4318616,4327473,4313536,4231279,4144198,4101937,4020640,3833262,3737326,3598472,3441722,3305273,3141497,2988811,2898395,2823041,2959404,2083434,1986144,1915774,1916244,1623833,1441506,1303339,1193273,1097594,962356,870823,798679,672727,601746,524576,450431,380133,304906,248895,194667,145421,109622,78028,53870,88988
0,0,0,2023,333368934,3590304,3674494,3582427,3687335,3737283,3825212,3902906,4004958,4040294,4028547,4015243,4022193,4066188,4150226,4237794,4399101,4391589,4319577,4281300,4315208,4283142,4424180,4707962,4647774,4468666,4381578,4331309,4336067,4403324,4486989,4554218,4654662,4720300,4732449,4595709,4511291,4457263,4462906,4457912,4361642,4424441,4416947,4354119,4335329,4156323,4061784,4008843,3870780,3912615,3835517,3882766,4066813,4305315,4235776,4073069,3981825,3990679,4042893,4192327,4283511,4276675,4282750,4265573,4180781,4091658,4046668,3963387,3775512,3677776,3537328,3379163,3240982,3075229,2920466,2826636,2747009,2872184,2016094,1915585,1840814,1833446,1545828,1364005,1225170,1113584,1016306,883900,792644,720051,599960,530331,456377,386367,321058,253305,203039,155735,113916,83967,58312,96169
0,0,0,2024,333405763,3556850,3586525,3668815,3577188,3682452,3732892,3821318,3899326,4001846,4037686,4026064,4012892,4019922,4063808,4147347,4234190,4394466,4385661,4310554,4270901,4303912,4270924,4410503,4693287,4633371,4454652,4367356,4317079,4321207,4387756,4470890,4537475,4637248,4702271,4714162,4577585,4492680,4437991,4442765,4437033,4340798,4403256,4396182,4333939,4315282,4136830,4041706,3987634,3848598,3888715,3810860,3856911,4039410,4275908,4206110,4043573,3951679,3959019,4008814,4154776,4242572,4232977,4236000,4215579,4128449,4037250,3989763,3904489,3716130,3616171,3473946,3313985,3173790,3005751,2848775,2751165,2666957,2780261,1945184,1841243,1761752,1745862,1463367,1282659,1143864,1031585,933835,805036,714820,642578,529106,461684,391754,326591,266891,206807,162576,122116,87354,62861,101378
0,0,0,2025,333396257,3522719,3553095,3584746,3664138,3572915,3678571,3729447,3818121,3896473,3999472,4035269,4023866,4010618,4017621,4061142,4144007,4229928,4389015,4376984,4300984,4260737,4292901,4258747,4397656,4679784,4619969,4441510,4353901,4303380,4307019,4372928,4455576,4521427,4620681,4684991,4696579,4559582,4474109,4418811,4422636,4416698,4320673,4383116,4376320,4314475,4295365,4116844,4020754,3965353,3825401,3864078,3785893,3830981,4011983,4246372,4176065,4013617,3920723,3926218,3973456,4115622,4199877,4187290,4187223,4163729,4074338,3981244,3931198,3843841,3654761,3552239,3407892,3245761,3103246,2932748,2773359,2671719,2582513,2683243,1870436,1762727,1678109,1653242,1376716,1197998,1060138,948344,850912,726465,638124,567067,460951,396587,331411,271734,218063,165745,127604,93744,65484,106373
0,0,0,2026,333342777,3488703,3519009,3551328,3583298,3660337,3569548,3675552,3726654,3815587,3894344,3997338,4033160,4021835,4008427,4015151,4058155,4140150,4224981,4381016,4367901,4291749,4250967,4281909,4247408,4385847,4667242,4607479,4429094,4341037,4290349,4293530,4358892,4440972,4506216,4604842,4668445,4679197,4541680,4455703,4399708,4403100,4397102,4301569,4363933,4357173,4295189,4275019,4096029,3998791,3942153,3801542,3839189,3760935,3805175,3984545,4216523,4145583,3982867,3888754,3892212,3936608,4074850,4155210,4139671,4136601,4110089,4018624,3923634,3870914,3781116,3591080,3485557,3338711,3174165,3029025,2855908,2693956,2587931,2493362,2580793,1791415,1679604,1589653,1555885,1286434,1110786,975096,864590,768268,648964,563373,494364,396273,335750,275980,222244,174908,130222,98059,70357,110624
0,0,0,2027,333241862,3455084,3485039,3517253,3549889,3582107,3657345,3566932,3673087,3724452,3813704,3892415,3995530,4031234,4019878,4006137,4012410,4054741,4135699,4217586,4372645,4359190,4282840,4241200,4271612,4236977,4374860,4655496,4595616,4417197,4328788,4277910,4280737,4345411,4427069,4491619,4589533,4652105,4661813,4523951,4437313,4381157,4384277,4378473,4283333,4345447,4338190,4275485,4253836,4074214,3975901,3918279,3777456,3814330,3736074,3779476,3956866,4186277,4114311,3951074,3855606,3856741,3898208,4032179,4108564,4090207,4084158,4054767,3961288,3864255,3808537,3715940,3524592,3415624,3265999,3098841,2950726,2774938,2610136,2499409,2399124,2472302,1707652,1591649,1496635,1454404,1193340,1022147,889453,781036,686709,573346,491390,425304,335769,279820,225914,178457,137544,100179,73677,116436
0,0,0,2028,333088815,3421797,3451464,3483295,3515824,3548708,3581168,3655007,3564780,3671170,3722863,3812019,3890752,3993816,4029376,4017761,4003618,4009276,4050793,4128822,4209903,4364568,4350813,4273744,4231969,4262076,4227163,4364504,4644366,4584130,4405796,4317095,4266014,4268386,4332558,4413658,4477509,4574241,4635737,4644520,4506219,4419384,4363235,4366392,4360631,4265722,4327094,4318796,4254969,4231619,4051467,3952332,3894147,3753376,3789577,3711270,3753583,3928864,4155255,4081990,3918102,3821032,3819734,3857954,3987570,4060063,4038901,4030041,3997738,3902173,3802739,3743678,3647797,3454806,3342047,3189396,3019361,2868018,2689381,2521520,2405757,2299209,2357163,1618949,1499121,1399624,1349714,1098659,932846,803968,698507,607071,500446,422987,360643,280088,229265,181578,140499,105914,75355,122420
0,0,0,2029,332881220,3388972,3418218,3449732,3481877,3514650,3547772,3580434,3653070,3563101,3669868,3721265,3810544,3889202,3992115,4027387,4015422,4000763,4005658,4044489,4121680,4202557,4356715,4342217,4265069,4223340,4253096,4217861,4354627,4633653,4573095,4394780,4305925,4254496,4256556,4320159,4400658,4463462,4558919,4619424,4627191,4488914,4402041,4346153,4349271,4343354,4248235,4308331,4298612,4233479,4208504,4028089,3928542,3870047,3729435,3764919,3686293,3727420,3900178,4123234,4048488,3883675,3784959,3780920,3815820,3941148,4009768,3985964,3974225,3938925,3840929,3738753,3675904,3576207,3381295,3264451,3108467,2935456,2780514,2598879,2427748,2306375,2193065,2235157,1525535,1402565,1299500,1243177,1003187,843651,719483,617872,530246,431111,358915,301081,229704,184450,143102,108319,79760,127400
0,0,0,2030,332615264,3356874,3385438,3416499,3448325,3480709,3513723,3547041,3579749,3651545,3562041,3668516,3719899,3809130,3887721,3990316,4025230,4012778,3997470,3999694,4037930,4114883,4195452,4348565,4333949,4256911,4215139,4244537,4208917,4345060,4623324,4562385,4384146,4295017,4243425,4245097,4308084,4387627,4449328,4543621,4603027,4610216,4472117,4385454,4329715,4332647,4326150,4230337,4288767,4277432,4211071,4184730,4004462,3904756,3846026,3705589,3740069,3661056,3700612,3870518,4090023,4013492,3847680,3747025,3740232,3771871,3892921,3957814,3931363,3916586,3877955,3777157,3671827,3604685,3500760,3303642,3182386,3022900,2846663,2687816,2503048,2328179,2200699,2080501,2106616,1427968,1302839,1197546,1135686,907748,755432,636878,540033,457108,366099,299853,247136,184986,145511,110450,81665,133639
0,0,0,2031,332286678,3325523,3353387,3383731,3415103,3447163,3479787,3512994,3546354,3579158,3650689,3560813,3667318,3718611,3807758,3886094,3988332,4022762,4009706,3991835,3993498,4031647,4108270,4188003,4340689,4326121,4249099,4207259,4236267,4200249,4335898,4613280,4552056,4373747,4284495,4232635,4233906,4295958,4374427,4435128,4528147,4586893,4593647,4455957,4369425,4313689,4316019,4308487,4211638,4268206,4255285,4187934,4160653,3980766,3881000,3821995,3681523,3714906,3635146,3672850,3839700,4055235,3976833,3809766,3707152,3697740,3726121,3843005,3904166,3874959,3856720,3814406,3710314,3601412,3529519,3421061,3221410,3095533,2932232,2752529,2589495,2401163,2222245,2088560,1961825,1972305,1327094,1201234,1094622,1028174,813269,669101,557052,465876,388470,306107,246316,199213,146091,112428,83372,138937
